poiid,created_time,created_date,id,text,source,user_id,user_location,lat_poi,lng_poi,lat_event,lng_event,category1,category2
B2094652DB69A7FF429C,Fri Nov 08 00:17:23 +0800 2013,Fri Nov 08 2013,3642155673364290,________... _ _ _ _ ____:http://t.cn/zQe2iW9,"<a href=""http://app.weibo.com/t/feed/c66T5g"" rel=""nofollow"">Android___</a>",2015190343,__ __,22.5492,113.92247,22.5492,113.92247,Parks,Outdoors/Sports
B2094652DB64A6FE459E,Fri Nov 08 00:17:47 +0800 2013,Fri Nov 08 2013,3642155774264820,______________________________[___][___][___][_][_][__][__] ____:http://t.cn/z8AG0wB,"<a href=""http://app.weibo.com/t/feed/c66T5g"" rel=""nofollow"">Android___</a>",2674506714,__ __,22.52686,114.07571,22.52686,114.07571,Residence,Home/Work
B2094750DA6FA1FE4399,Fri Nov 08 00:18:25 +0800 2013,Fri Nov 08 2013,3642155929288750,_________________________________________ ____:http://t.cn/z8TCzkf,"<a href=""http://app.weibo.com/t/feed/c66T5g"" rel=""nofollow"">Android___</a>",3889679581,__ __,22.540202,114.111356,22.540202,114.111356,Taiwanese dishes,Food/Drinks
B2094653D26CA5F9499A,Fri Nov 08 00:18:26 +0800 2013,Fri Nov 08 2013,3642155937534040,#__ ___# ___ ____:http://t.cn/z8LwvcK,"<a href=""http://app.weibo.com/t/feed/9ksdit"" rel=""nofollow"">iPhone___</a>",1805153860,__ __,22.54418,114.082832,22.54418,114.082832,Buildings,Others
B2094757D06FA4FE479E,Fri Nov 08 00:18:41 +0800 2013,Fri Nov 08 2013,3642156000013060,_______ ____:http://t.cn/z8ANhF5,"<a href=""http://app.weibo.com/t/feed/c66T5g"" rel=""nofollow"">Android___</a>",1824652442,__ __,22.53619316,113.9452466,22.53619316,113.9452466,Cafe,Food/Drinks
B2094653D26AA7FB499A,Fri Nov 08 00:18:52 +0800 2013,Fri Nov 08 2013,3642156055152560,_____banana______________[_][__] __#____#,"<a href=""http://app.weibo.com/t/feed/3KeSKP"" rel=""nofollow"">WeicoPro</a>",1935956613,__ __,22.55762,114.03265,22.55762,114.03265,Residence,Home/Work
B2094757DA6DA3FB499C,Fri Nov 08 00:19:05 +0800 2013,Fri Nov 08 2013,3642156114105660,_Timo ____:http://t.cn/zQeVIp4,"<a href=""http://app.weibo.com/t/feed/2RtWjy"" rel=""nofollow"">___Phone_K860</a>",1670203553,__ __,22.52859945,113.9156624,22.52859945,113.9156624,Residence,Home/Work
B2094652DB6AA1FE499A,Fri Nov 08 00:19:53 +0800 2013,Fri Nov 08 2013,3642156302032830,____________ ____:http://t.cn/z8A1TOH,"<a href=""http://app.weibo.com/t/feed/2AhyC"" rel=""nofollow"">__Galaxy Note II</a>",2155357182,__ __,22.50028,113.90068,22.50028,113.90068,Outdoors,Outdoors/Sports
B2094757D565A4F4459D,Fri Nov 08 00:21:24 +0800 2013,Fri Nov 08 2013,3642156683752520,_______ ____:http://t.cn/z8L6gGi,"<a href=""http://app.weibo.com/t/feed/9ksdit"" rel=""nofollow"">iPhone___</a>",2117919143,__ __,22.571651,114.06749,22.571651,114.06749,Cafe,Food/Drinks
B2094653D26EA7F84298,Fri Nov 08 00:21:45 +0800 2013,Fri Nov 08 2013,3642156785135110,___________[___] ____:http://t.cn/z823dPR,"<a href=""http://app.weibo.com/t/feed/9ksdit"" rel=""nofollow"">iPhone___</a>",2034576305,__ __,22.54229,114.120934,22.54229,114.120934,Five star hotels,Travel
