poiid,created_time,id,text,source,user_id,user_location,lat_poi,lng_poi,lat_event,lng_event,category1,category2
B2094757D06FA7F5409E,Fri Aug 30 12:12:39 +0800 2013,3616968525831520,________________KT____________________________________________________________________________@___914____ __________ ____:http://t.cn/z84XTZs,"<a href=""http://app.weibo.com/t/feed/c66T5g"" rel=""nofollow"">Android___</a>",2259628365,__ __,22.5417892,114.1188106,22.5417892,114.1188106,Clothing&Leather,Shopping
B2094757D06FABFA4798,Fri Aug 30 12:13:28 +0800 2013,3616968731401690,_______[__]_____________________________[__] ____:http://t.cn/z8yXcEo,"<a href=""http://app.weibo.com/t/feed/9ksdit"" rel=""nofollow"">iPhone___</a>",2412820442,__ __,22.534439,113.955605,22.534439,113.955605,Unknowná,Others
B2094652DB65A1F84292,Fri Aug 30 12:18:19 +0800 2013,3616969951981660,____________________ ____:http://t.cn/zQe2HO9,"<a href=""http://app.weibo.com/t/feed/21gIP7"" rel=""nofollow"">__ Ascend Mate</a>",2674802187,__ __,22.55385,114.03588,22.55385,114.03588,Residence,Home/Work
B2094653D26AA0F5489F,Fri Aug 30 12:21:56 +0800 2013,3616970866058890,[__] http://t.cn/zjagLlv,"<a href=""http://app.weibo.com/t/feed/4G3OlD"" rel=""nofollow"">____</a>",3371852550,__,22.54282,114.12088,22.54282,114.12088,Residence,Home/Work
B2094757D16BA0FD429F,Fri Aug 30 12:23:09 +0800 2013,3616971172315620,@___ ____ ____:http://t.cn/z84apt7,"<a href=""http://app.weibo.com/t/feed/9ksdit"" rel=""nofollow"">iPhone___</a>",1881987602,__ __,22.542624,114.090858,22.542624,114.090858,Cantonese cuisine,Food/Drinks
B2094652DB64A6FF4599,Fri Aug 30 12:24:05 +0800 2013,3616971407232310,_________________ ____:http://t.cn/z8Al2jU,"<a href=""http://app.weibo.com/t/feed/c66T5g"" rel=""nofollow"">Android___</a>",1946642700,__ __,22.53929,114.07769,22.53929,114.07769,Buildings,Others
B2094757D06AA6F84292,Fri Aug 30 12:24:39 +0800 2013,3616971545071880,8_25___A___5________ ____:http://t.cn/z8Ae58g,"<a href=""http://app.weibo.com/t/feed/9ksdit"" rel=""nofollow"">iPhone___</a>",3472687882,__,22.5452,114.104691,22.5452,114.104691,Cantonese cuisine,Food/Drinks
B2094652DB65A3FB459E,Fri Aug 30 12:24:46 +0800 2013,3616971583427950,_____________________ ____:http://t.cn/z84aHTQ,"<a href=""http://app.weibo.com/t/feed/9ksdit"" rel=""nofollow"">iPhone___</a>",3165361365,__ __,22.51613,114.063301,22.51613,114.063301,Residence,Home/Work
B2094757D065A4F84493,Fri Aug 30 12:24:56 +0800 2013,3616971616988940,__________20___________but_______ ____:http://t.cn/zQeaCoJ,"<a href=""http://app.weibo.com/t/feed/c66T5g"" rel=""nofollow"">Android___</a>",1050804004,__ __,22.53888476,113.9474692,22.53888476,113.9474692,Buildings,Others
B2094752D46AA2FF4092,Fri Aug 30 12:25:20 +0800 2013,3616971717050820,_________[__] ____:http://t.cn/z8UvdiN,"<a href=""http://app.weibo.com/t/feed/c66T5g"" rel=""nofollow"">Android___</a>",3388093812,__ __,22.546591,114.089248,22.546591,114.089248,Companyá,Home/Work
B2094653D26FABFC419B,Fri Aug 30 12:27:03 +0800 2013,3616972153965900,_______________________________________ ____:http://t.cn/z8LaW95,"<a href=""http://app.weibo.com/t/feed/3qtuWX"" rel=""nofollow"">__iSuper S1</a>",3264628951,__ __,22.54059,114.09065,22.54059,114.09065,Western restaurants,Food/Drinks
B2094752D46AA2FF4092,Fri Aug 30 12:27:40 +0800 2013,3616972304379560,______________________[__] ____:http://t.cn/z8UvdiN,"<a href=""http://app.weibo.com/t/feed/c66T5g"" rel=""nofollow"">Android___</a>",3388093812,__ __,22.546591,114.089248,22.546591,114.089248,Companyá,Home/Work
B2094752D46AA2FF4092,Fri Aug 30 12:30:10 +0800 2013,3616972933226580,______________________________[__][__] ____:http://t.cn/z8UvdiN,"<a href=""http://app.weibo.com/t/feed/c66T5g"" rel=""nofollow"">Android___</a>",3388093812,__ __,22.546591,114.089248,22.546591,114.089248,Companyá,Home/Work
B2094753D76BA5FB439F,Fri Aug 30 12:31:44 +0800 2013,3616973327863500,_____________[__][__][__][__] ____:http://t.cn/z8LXFEK,"<a href=""http://app.weibo.com/t/feed/9ksdit"" rel=""nofollow"">iPhone___</a>",1913186623,__ __,22.535971,114.02977,22.535971,114.02977,Cinema,Art/Entertainment
B2094757D068A0F4429C,Fri Aug 30 12:32:41 +0800 2013,3616973571661770,______________________[_] ____:http://t.cn/zQeZtbT,"<a href=""http://app.weibo.com/t/feed/9ksdit"" rel=""nofollow"">iPhone___</a>",1846217831,__ __,22.53867,113.95076,22.53867,113.95076,Fast food,Food/Drinks
